generation,timestamp,avg_elo,peak_elo,min_elo,std_elo,policy_entropy,entropy_variance,mutation_rate,population_diversity,avg_fitness,min_fitness,max_fitness,std_fitness
0,2026-02-02T19:22:59.505108,1500.0,1531.263693206478,,,1.3517751592397689,0.00016699454680545178,0.0,6.106116359691427,849.09833984375,,,
1,2026-02-02T19:23:03.036151,1504.5957629013521,1546.1791577819563,,,1.3413571774959565,0.00040240325136689845,0.045000000000000005,6.733973846242885,848.93833984375,,,
2,2026-02-02T19:23:06.730714,1519.929314788264,1553.261260409843,,,1.3289217907190323,0.000563125255379813,0.04855,7.261845522793856,848.84833984375,,,
3,2026-02-02T19:23:10.555071,1529.8243493470109,1557.8164323899712,,,1.3176045632362365,0.0006125028730592078,0.04965000000000001,7.5500318177541095,848.80833984375,,,
4,2026-02-02T19:23:13.502520,1535.6508062298913,1555.9026172337112,,,1.302839926481247,0.0008599312606131817,0.05000000000000001,8.073296725244234,848.79833984375,,,
5,2026-02-02T19:23:16.456528,1539.7099553132723,1554.45094398869,,,1.2926090943813324,0.0011240439424648216,0.05000000000000001,8.33820216438987,848.79833984375,,,
6,2026-02-02T19:23:22.535992,1542.5086161340887,1553.3272701129608,,,1.2711799192428588,0.0021635577084795216,0.05000000000000001,8.592184359714238,848.79833984375,,,
7,2026-02-02T19:23:27.912051,1544.5510113215655,1552.552385387807,,,1.2594145458936692,0.0017647396357887257,0.05000000000000001,8.713141125091399,848.79833984375,,,
8,2026-02-02T19:23:33.621256,1546.1398427571676,1551.9446160888972,,,1.2375965809822083,0.0022862226566959065,0.05000000000000001,8.718074501885308,848.79833984375,,,
9,2026-02-02T19:23:38.858341,1547.2048876435902,1551.4837692260546,,,1.2314400857686996,0.0023474201521023162,0.05000000000000001,8.695094091627332,848.79833984375,,,
10,2026-02-02T19:23:41.996393,1547.986698560733,1551.2114726068837,,,1.2299570441246033,0.0018958340858587519,0.05000000000000001,8.481281109626847,848.79833984375,,,
11,2026-02-02T19:23:44.927220,1548.6710135247813,1551.001596364964,,,1.2187605971097946,0.0024324253031161045,0.05000000000000001,8.414493681059943,848.79833984375,,,
12,2026-02-02T19:23:47.826144,1549.1412370026073,1550.8275937822416,,,1.2211209523677826,0.002540481538745779,0.05000000000000001,8.144360958253495,848.79833984375,,,
13,2026-02-02T19:23:50.869382,1549.4823452053465,1550.7003499938526,,,1.2155437177419663,0.0020066164490028624,0.05000000000000001,7.9854484559068775,848.79833984375,,,
14,2026-02-02T19:23:53.755385,1549.722139856008,1550.613113213576,,,1.2212073242664336,0.0016705860683135982,0.05000000000000001,7.85954665049158,848.79833984375,,,
15,2026-02-02T19:23:56.735256,1549.8807595728106,1550.5435547243678,,,1.2048772537708283,0.002026679208620395,0.05000000000000001,7.8830864529657845,848.79833984375,,,
16,2026-02-02T19:23:59.638853,1549.9964803946102,1550.5059853642606,,,1.2009119200706482,0.002058009904182461,0.05000000000000001,7.812341700659858,848.79833984375,,,
17,2026-02-02T19:24:02.588705,1550.0910243546725,1550.467535514121,,,1.2041084960103035,0.002635303904700945,0.05000000000000001,7.535663190610481,848.79833984375,,,
18,2026-02-02T19:24:05.519622,1550.165489617841,1550.4420378179987,,,1.1966828215122223,0.002114175942546011,0.05000000000000001,7.476730458327014,848.79833984375,,,
19,2026-02-02T19:24:08.645162,1550.2252776326814,1550.4220746760914,,,1.1979929214715959,0.0024248398913375266,0.05000000000000001,7.429536968096338,848.79833984375,,,
20,2026-02-02T19:24:11.586439,1550.2683917015963,1550.409448025439,,,1.1938261863589288,0.0035512080878028597,0.05000000000000001,7.278158002044215,848.79833984375,,,
21,2026-02-02T19:24:14.774640,1550.2972481479062,1550.3992390310414,,,1.2069442665576935,0.002298236077065086,0.05000000000000001,7.169297879633278,848.79833984375,,,
22,2026-02-02T19:24:17.945310,1550.3188919954234,1550.3916689792327,,,1.2032869464159013,0.0020374063707767217,0.05000000000000001,7.132236352689339,848.79833984375,,,
0,2026-02-02T19:24:21.210546,1500.0,1531.263693206478,,,1.3517751592397689,0.00016699454680545178,0.0,6.106116359691427,849.09833984375,,,
23,2026-02-02T19:24:22.101460,1550.3347963341348,1550.386400790544,,,1.2031480777263641,0.0021046301846367314,0.05000000000000001,6.968942142255378,848.79833984375,,,
1,2026-02-02T19:24:26.073627,1504.5957629013521,1546.1791577819563,,,1.3413571774959565,0.00040240325136689845,0.045000000000000005,6.733973846242885,848.93833984375,,,
24,2026-02-02T19:24:26.116161,1550.3456695056618,1550.3827948164412,,,1.1940813553333283,0.0024658591646940222,0.05000000000000001,7.009681051523999,848.79833984375,,,
25,2026-02-02T19:24:29.971549,1550.3541381995915,1550.3802697964027,,,1.2156368714571,0.0021108135784179295,0.05000000000000001,6.9837662839407875,848.79833984375,,,
2,2026-02-02T19:24:30.592342,1519.929314788264,1553.261260409843,,,1.3289217907190323,0.000563125255379813,0.04855,7.261845522793856,848.84833984375,,,
26,2026-02-02T19:24:33.836028,1550.3598946976178,1550.3785263628615,,,1.2151232370734215,0.002139993912182074,0.05000000000000001,7.013905021590416,848.79833984375,,,
